Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
1700056E22Rik,0,0,0,0,0,0
Gm39725,0,0,0,0,0,0
Gm34130,0,0,0,0,0,0
Gm34068,0,0,0,0,0,0
Gm39724,0,0,0,0,0,0
Gm33973,0,0,0,0,0,0
Hhipl2,0,0,0,65,4,0
Taf1a,249,180,190,22,112,17
Gm34102,0,0,32,13,0,0
Mia3,2057,1976,2777,2863,2678,2110
Aida,425,495,639,372,226,367
Brox,130,401,342,517,447,461
Gm34287,0,0,0,0,0,0
Disp1,48,70,58,127,44,63
Gm33747,0,0,0,0,2,0
Tlr5,0,0,0,0,0,4
Susd4,702,776,987,1651,966,1104
Ccdc185,0,0,0,0,0,0
Capn8,0,0,0,0,0,0
LOC108167842,0,0,0,0,0,0
LOC108167751,586,186,421,228,247,377
Capn2,1761,1255,2106,1019,762,782
Trp53bp2,796,629,691,694,557,688
Fbxo28,196,353,351,394,333,409
1700047M11Rik,2,3,4,2,14,3
Degs1,601,920,946,1053,589,877
LOC105244034,0,0,0,0,0,0
Vmn1r1,0,0,0,0,0,0
Srp9,280,420,751,659,431,508
Gm33725,0,0,0,0,0,0
Gm39719,0,0,0,0,0,0
n-TSgct1,0,0,0,0,0,0
Gm38648,0,0,0,0,0,8
Enah,1540,1936,2461,2729,2446,4756
Gm33669,0,0,0,0,0,0
Lbr,350,131,260,226,76,46
Gm33612,0,0,0,19,0,0
Dnah14,0,0,0,0,33,19
LOC108167841,0,0,0,0,0,0
Gm32767,0,0,0,0,0,0
Ccdc121,0,0,14,1,20,10
Cnih3,145,319,240,1095,542,463
Gm39717,0,0,0,0,0,3
Gm39718,0,0,0,0,0,0
A430110L20Rik,0,19,116,0,25,11
Gm38664,0,0,0,0,0,1
Wdr26,1713,1916,1364,2153,1389,1903
Cnih4,183,311,429,461,219,180
Nvl,224,479,532,618,474,608
Gm37406,0,0,0,0,0,0
Gm39716,0,0,0,0,0,0
9130409I23Rik,0,0,0,0,0,0
Ephx1,428,858,686,54,229,189
Tmem63a,5,263,373,178,116,376
Lefty1,0,0,91,0,0,0
Gm39715,0,0,2,0,0,0
Gm32199,1,1,0,0,0,0
Pycr2,289,165,20,184,115,67
Lefty2,0,0,0,32,0,2
Gm39714,0,0,0,0,0,0
Sde2,193,123,309,335,224,121
G370120E05Rik,0,0,0,0,10,30
H3f3a,369,591,186,109,89,173
LOC102634584,0,0,0,0,0,0
Gm38293,0,0,0,0,1,0
Acbd3,839,272,615,511,350,464
Mixl1,0,0,0,0,0,0
Lin9,114,100,14,4,42,38
Mir6904,0,0,0,0,0,0
Parp1,420,519,632,704,480,612
Gm31986,0,0,0,0,0,0
Stum,435,902,1460,1854,1084,1398
Gm39712,0,0,0,0,0,0
Itpkb,576,920,799,277,269,367
Gm5069,124,30,50,73,14,3
Gm39713,0,0,0,0,0,0
Gm31728,0,0,62,4,7,10
Psen2,48,447,120,169,126,139
Gm37336,0,0,0,0,0,0
LOC108167750,0,0,0,0,2,0
Adck3,476,46,147,268,140,291
Gm38331,0,0,0,0,0,0
LOC108167749,0,8,13,28,20,31
Cdc42bpa,3584,4448,4454,5069,5057,5896
Gm31668,0,0,0,0,0,0
Ahctf1,698,868,940,908,841,835
Gm1305,0,0,0,0,0,0
Sccpdh,378,839,926,763,520,788
Cnst,169,417,273,635,704,440
Tfb2m,310,51,59,96,73,149
Gm31349,0,0,0,0,5,0
LOC108167846,2,3,0,19,4,2
Smyd3,151,19,579,332,150,276
LOC108167845,0,0,0,0,0,33
Gm39710,1,0,0,0,0,0
Kif26b,40,98,441,146,250,654
Gm39709,0,0,0,0,0,0
Gm31289,0,0,0,0,0,0
Efcab2,40,152,213,208,149,110
Hnrnpu,4410,4075,4855,5902,3852,4460
Cox20,40,179,262,174,86,184
B230369F24Rik,1,0,0,47,40,50
LOC108167748,0,0,0,0,0,27
Desi2,220,222,410,408,331,327
Gm16432,271,1,40,102,123,153
Gm7068,0,0,0,0,0,0
Adss,706,747,1166,1292,748,723
1700016C15Rik,0,0,0,0,0,0
Gm30115,0,0,0,0,0,0
2310043L19Rik,0,0,0,0,0,0
Gm30013,0,0,0,0,0,0
Gm29856,0,0,15,0,0,0
Zbtb18,2819,2135,3107,4338,3305,4304
Gm36904,0,0,0,32,0,3
Akt3,2713,2804,3476,4757,3102,3663
Gm15423,0,0,0,0,6,0
Hmga2-ps1,57,0,1,12,1,16
Sdccag8,69,361,271,278,171,310
Mir350,0,0,0,0,0,0
Cep170,1263,1094,1332,1403,1085,1239
Gm36586,0,0,0,0,0,0
Gm36536,0,0,0,0,0,0
LOC108167747,0,0,0,0,0,0
Pld5,534,151,47,242,96,232
Becn2,0,0,0,0,0,0
Exo1,0,0,0,0,0,36
Gm36360,0,0,0,0,0,0
Wdr64,0,0,0,0,0,2
Gm39707,0,0,0,0,0,0
Chml,145,119,307,149,180,222
Opn3,0,83,58,93,55,28
Kmo,0,0,0,0,0,13
Fh1,678,498,533,897,598,625
Rgs7,151,362,507,922,630,809
Grem2,90,79,373,322,295,399
Fmn2,899,1055,1019,1559,1260,1441
Olfr220,0,0,0,0,0,0
Olfr414,0,0,0,0,0,0
Olfr248,0,0,0,0,0,0
Olfr417,0,0,0,0,0,0
Mptx1,0,0,0,0,0,0
Olfr419,0,0,0,0,0,0
Spta1,0,0,39,0,0,0
Gm36196,0,0,0,0,0,0
