Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
Cr2,0.0,0.0,0.0,0.0,0.17832197117939097,0.2662908439064972
Gm32313,0.0,0.0,1.148752251166151,0.0,0.0,0.5316740070497853
Cr1l,35.177845758095415,54.91353643762995,118.34410782891538,22.383558915352292,33.178055440574475,19.662064742421887
Cd46,2.8709481814039974,5.132549427771084,0.2483302508507835,2.6843492167061793,0.478897776027868,8.528105920171482
Mir29c,0.0,0.0,0.0,0.0,0.0,0.0
Mir29b-2,0.0,0.0,0.0,0.0,0.0,0.0
A330023F24Rik,16.401038077333283,60.470352750837215,28.025132398131984,38.35412038394831,45.66358280394888,41.87486312784584
Gm32250,0.0,0.0,0.0,0.0,0.0,0.0
Gm39749,0.0,0.0,0.0,0.0,0.0,0.0
Gm16897,0.0,0.0,0.0,0.0,0.0,0.3339592919967473
Cd34,291.1015320604013,362.0184179928562,259.6635280793292,80.55900694743043,125.40096314345907,60.14637428880524
Gm39748,0.0,0.0,0.0,0.0,0.0,0.0
Mir3962,0.0,0.0,0.0,0.0,0.0,0.0
LOC108167784,0.0,0.0,0.0,0.0,0.0,0.0
Plxna2,90.17712714053444,72.02043602334771,50.38342127216755,75.2395590760738,75.94001402241314,59.44235713839711
Gm31988,0.0,0.0,0.0,0.0,0.0,0.0
4930503O07Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm31870,0.0,0.0,0.0,0.0,0.0,0.0
Mir205,0.0,0.0,0.0,0.0,0.0,0.0
4631405K08Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm31753,0.0,0.0,0.0,0.0,0.0,0.0
Camk1g,0.0,4.721700190422622,20.790760446229488,38.66741133588664,35.85081962208623,34.08858550900131
Lamb3,0.0,1.4954171762120165,0.0,0.0,1.9464634450189289,0.0
G0s2,0.0,10.153935844172695,16.448123234287483,10.583186667796857,10.463106881498547,2.4670598943176074
Hsd11b1,28.70948181403998,18.48821568068079,93.86883482159617,22.289685460149524,65.84844420383185,62.75398695975241
Traf3ip3,4.037319687155551,0.20178613664869358,1.0895621472972143,0.0,0.0,0.5883257400027563
A130010J15Rik,13.487679091766589,12.570004993641167,24.4488248959364,8.188370949477006,9.895982436601447,9.556321867278312
Irf6,11.662610395043751,5.782366646671716,6.4627014313263285,0.16201108376830017,2.2255597507113354,0.2719195673449218
Diexf,0.7602232827110194,5.623427075916026,6.496843183879385,15.312924033358769,20.771723361599374,13.146030020665284
Gm39747,0.0,0.0,0.0,0.16958687577845102,0.847137831454406,0.0
Gm31406,0.19286385262290368,0.0,0.0,0.0,1.2546798152351741,0.0936815986896281
Gm39746,3.416379436049042,0.0,0.0,0.0,2.963377022219123,2.1573117400220756
Syt14,10.48857664504328,11.629129714719468,4.5654515055963305,8.45107759152516,13.037199417439712,12.035161262817308
Gm15867,0.0,0.0,0.0,4.11790407731119,3.2725284204019145,8.377568946262812
Sertad4,25.7262169078105,11.021160407687875,16.530481505131554,40.88281035397251,37.10863638085577,44.85257829107923
1700065J18Rik,0.0,0.0,0.0,0.0,0.0,0.0
A730013G03Rik,0.0,0.0,0.0,0.07408019762980565,0.0,0.0
Gm31078,0.0,0.0,0.0,0.0,0.0,0.0
Gm31011,0.0,0.0,0.0,0.0,1.496142136951704,0.0
Hhat,2.4599698524725437,0.0,0.11064642891972575,0.0,0.0,0.0
Kcnh1,23.997371443407697,32.299958444559174,32.88320431316022,71.90483533006324,92.5800630089458,48.74031830885972
Gm39745,0.0,0.0,0.0,6.380265765511227,0.0,0.0
Gm30956,19.845268105292508,0.23430021669628417,0.9137012496175817,0.0,0.9318516145998466,3.5674226303926257
Gm10516,34.25917700611594,0.0,2.359327528756908,0.7115896472173902,2.488224135879863,7.80297420019735
Rcor3,10.345544597031147,8.642499536128732,9.107171213760864,15.654677482974282,11.21719268712151,16.00897902909468
Gm3934,6.422366292342693,0.0,1.9258010953478262,38.567447289535345,1.160578829092536,5.199328727274359
Mir3473c,0.0,0.0,0.0,0.0,0.0,0.0
Traf5,11.16759858317624,10.565153693101813,0.3587892119884167,0.3462826564567906,3.2433502443200823,4.068408133125721
Gm26670,0.0,0.0,0.0,0.0,0.0,0.0
Rd3,0.0,0.0,0.4588654880947911,0.0,0.0,0.0
Gm39743,0.0,0.0,0.0,0.0,0.0,0.0
Gm39742,0.0,0.0,0.0,0.0,0.0,0.0
Slc30a1,233.65658703127949,151.4579907022854,168.0099148930754,60.30558577318749,53.3490137865595,53.61051189083787
1700034H15Rik,0.0,0.784939744762731,0.0,0.0,2.7670838657868813,9.154251404279476
Nek2,0.0,0.0,0.0,0.0,0.8218911743352278,0.0
Lpgat1,55.71171919659361,111.53448952632152,81.24800561742913,235.8764329251936,194.00469589614997,146.689288920274
Gm39741,0.0,0.0,0.0,0.0,0.0,0.0
Ints7,12.01895937580645,13.215625829022686,9.158367164137614,29.83205644142887,29.819363574438352,11.95090090549192
Dtl,2.857361436982498,2.1421734097945984,0.0,10.155831189475238,8.229338934128515,9.889025650206914
Gm32334,0.0,0.0,0.0,0.0,0.0,0.0
Gm32200,0.32063735857926573,0.0,0.3845833440534851,1.4847106608342078,1.158840568240176,0.5191541415151631
Gm32128,0.0,0.0,0.0,0.0,0.0,0.0
Gm31987,0.0,0.0,0.0,0.0,0.0,0.0
LOC105244059,0.0,0.0,0.09911482734677438,0.0,0.0,0.0
Ppp2r5a,177.8202218083203,84.98666393546725,77.9818224203143,95.52682346250513,86.76098709374443,64.78073430478109
