Gene,59yo tumor periphery astro,59yo tumor core astro,64yo tumor core astro,65yo tumor core astro,21yo Hippocampus astro,22yo Hippocampus astro,53yo A Hippocampus astro,53yo B Hippocampus astro,Fetal ctx 1 astro,Fetal ctx 2 astro,Fetal ctx 3 astro,Fetal ctx 4 astro,Fetal ctx 5 astro,Fetal ctx 6 astro,8yo ctx astro,13yo ctx astro,16yo ctx astro,21yo ctx astro,22yo ctx astro,35yo ctx astro,47yo ctx astro,51yo ctx astro,53yo ctx astro,60yo ctx astro,63yo ctx 1 astro,63yo ctx 2 astro,25yo ctx neuron,22yo ctx oligo,63yo ctx A oligo,63yo ctx B oligo ,47yo ctx oligo,63yo ctx 3 oligo,45yo ctx myeloid,51yo ctx myeloid,63 yo ctx myeloid,47 yo ctx endo,13yo ctx endo,45yo whole cortex,63yo whole cortex,25yo whole cortex,53yo whole cortex,Mouse 1 month astro,Mouse 4 month astro,Mouse 7 month astro,Mouse 9 month astro
Gpr126,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,1.3,5.1,2.0,5.6,0.6,2.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.1,0.1,0.1,0.1,3.2,2.9,2.2,0.2,0.8,0.3,0.3,0.4,0.3,0.1,0.1,0.1,0.1
Gpr128,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.2,0.1,2.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr132,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr133,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,1.3,0.7,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr135,0.1,0.5,0.6,0.5,0.4,0.1,0.1,0.2,1.4,0.1,2.1,2.6,0.1,2.2,0.5,0.5,0.6,0.8,0.3,0.6,0.1,0.4,0.6,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.8,1.5,0.1,0.1,0.1,0.1
Gpr137,0.5,0.5,0.1,0.3,0.8,0.1,0.6,0.1,1.3,1.9,0.1,3.0,0.1,0.1,1.9,0.5,0.8,0.7,0.1,0.6,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,1.7,1.9,4.3,1.7
Gpr137b,0.6437635406996124,5.6,1.6881747688635937,1.879100059206438,2.0509258570682114,1.7215099396916171,6.8,7.3,4.8,3.4,4.9,4.5,6.6,7.7,1.8469811179937137,1.7001045322182031,1.73622212243662,1.6495669702851168,1.695895045485194,1.973571108789488,1.2159828352030497,1.6531882857787248,1.5743666392645725,1.2906137992832731,1.4406696764484623,1.3528010784901854,6.6,4.6,2.7,4.4,7.8,3.7,0.783307668617348,1.1622564258095514,1.3535963052696085,3.9,3.6,3.5,1.8,4.3,4.2,1.7,2.6,1.7,1.5
Gpr137c,0.8,0.7,1.1,2.1,0.9,1.4,0.7,1.9,0.6,0.8,1.2,2.3,3.3,0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.4,0.2,0.6,0.4,0.3,6.4,0.7,1.1,1.3,2.7,1.2,0.5,0.1,0.2,0.1,0.2,0.9,1.3,0.6,0.9,2.6,1.0,1.8,2.3
Gpr139,0.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr141,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.3,0.1,0.6,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gpr142,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
